,Gender,Goal,BMI Category
620,Male,fat_burn,Underweight
621,Male,muscle_gain,Overweight
622,Male,muscle_gain,Underweight
623,Female,fat_burn,Normal weight
624,Female,muscle_gain,Normal weight
625,Female,fat_burn,Obesity
626,Male,fat_burn,Overweight
627,Male,muscle_gain,Normal weight
628,Female,fat_burn,Normal weight
629,Female,muscle_gain,Normal weight
630,Female,muscle_gain,Overweight
631,Female,muscle_gain,Obesity
632,Female,fat_burn,Obesity
633,Male,fat_burn,Underweight
634,Male,muscle_gain,Underweight
635,Female,fat_burn,Underweight
636,Female,fat_burn,Obesity
637,Male,muscle_gain,Overweight
638,Male,fat_burn,Underweight
639,Male,fat_burn,Overweight
640,Female,muscle_gain,Underweight
641,Male,fat_burn,Underweight
642,Male,fat_burn,Overweight
643,Female,fat_burn,Obesity
644,Female,fat_burn,Obesity
645,Male,muscle_gain,Overweight
646,Female,muscle_gain,Underweight
647,Female,muscle_gain,Overweight
648,Male,muscle_gain,Overweight
649,Female,fat_burn,Overweight
650,Female,muscle_gain,Obesity
651,Male,fat_burn,Underweight
652,Female,muscle_gain,Normal weight
653,Male,muscle_gain,Obesity
654,Female,fat_burn,Overweight
655,Female,muscle_gain,Underweight
656,Female,fat_burn,Overweight
657,Female,muscle_gain,Normal weight
658,Female,muscle_gain,Normal weight
659,Male,fat_burn,Obesity
660,Female,fat_burn,Normal weight
661,Female,fat_burn,Overweight
662,Female,muscle_gain,Obesity
663,Male,muscle_gain,Normal weight
664,Male,fat_burn,Normal weight
665,Male,muscle_gain,Overweight
666,Female,fat_burn,Underweight
667,Female,fat_burn,Overweight
668,Male,muscle_gain,Overweight
669,Female,muscle_gain,Overweight
670,Female,muscle_gain,Underweight
671,Female,fat_burn,Underweight
672,Male,fat_burn,Overweight
673,Female,fat_burn,Underweight
674,Female,fat_burn,Normal weight
675,Male,fat_burn,Obesity
676,Male,muscle_gain,Underweight
677,Male,fat_burn,Normal weight
678,Female,muscle_gain,Normal weight
679,Female,fat_burn,Overweight
680,Female,muscle_gain,Normal weight
681,Female,muscle_gain,Overweight
682,Male,fat_burn,Overweight
683,Female,fat_burn,Underweight
684,Female,muscle_gain,Overweight
685,Female,fat_burn,Normal weight
686,Male,muscle_gain,Underweight
687,Female,muscle_gain,Obesity
688,Female,muscle_gain,Underweight
689,Female,muscle_gain,Underweight
690,Male,fat_burn,Underweight
691,Male,fat_burn,Overweight
692,Female,fat_burn,Obesity
693,Male,muscle_gain,Overweight
694,Female,fat_burn,Obesity
695,Female,muscle_gain,Overweight
696,Male,fat_burn,Underweight
697,Female,muscle_gain,Overweight
698,Female,muscle_gain,Normal weight
699,Female,fat_burn,Underweight
700,Female,fat_burn,Underweight
701,Male,muscle_gain,Overweight
702,Male,muscle_gain,Overweight
703,Female,muscle_gain,Obesity
704,Female,fat_burn,Underweight
705,Female,fat_burn,Underweight
706,Male,fat_burn,Underweight
707,Female,fat_burn,Overweight
708,Female,muscle_gain,Overweight
709,Male,muscle_gain,Underweight
710,Male,muscle_gain,Overweight
711,Female,fat_burn,Obesity
712,Male,fat_burn,Obesity
713,Female,muscle_gain,Underweight
714,Male,fat_burn,Overweight
715,Female,muscle_gain,Obesity
716,Female,fat_burn,Obesity
717,Male,fat_burn,Obesity
718,Male,fat_burn,Overweight
719,Male,muscle_gain,Normal weight
720,Male,fat_burn,Underweight
721,Female,fat_burn,Underweight
722,Female,fat_burn,Overweight
723,Female,muscle_gain,Normal weight
724,Male,fat_burn,Overweight
725,Female,fat_burn,Overweight
726,Male,fat_burn,Overweight
727,Female,fat_burn,Overweight
728,Male,fat_burn,Overweight
729,Male,muscle_gain,Normal weight
730,Male,fat_burn,Overweight
731,Male,muscle_gain,Obesity
732,Male,fat_burn,Obesity
733,Male,muscle_gain,Overweight
734,Female,fat_burn,Obesity
735,Female,muscle_gain,Obesity
736,Female,fat_burn,Obesity
737,Female,muscle_gain,Overweight
738,Female,muscle_gain,Normal weight
739,Male,muscle_gain,Underweight
740,Male,muscle_gain,Normal weight
741,Female,fat_burn,Overweight
742,Female,fat_burn,Normal weight
743,Female,muscle_gain,Obesity
744,Male,fat_burn,Normal weight
745,Female,muscle_gain,Normal weight
746,Male,fat_burn,Obesity
747,Male,fat_burn,Underweight
748,Male,muscle_gain,Normal weight
749,Female,muscle_gain,Underweight
750,Male,muscle_gain,Normal weight
751,Male,fat_burn,Overweight
752,Male,fat_burn,Underweight
753,Female,muscle_gain,Normal weight
754,Female,muscle_gain,Obesity
755,Male,muscle_gain,Normal weight
756,Female,muscle_gain,Normal weight
757,Female,muscle_gain,Normal weight
758,Female,muscle_gain,Underweight
759,Male,muscle_gain,Obesity
760,Female,fat_burn,Obesity
761,Female,muscle_gain,Normal weight
762,Female,muscle_gain,Overweight
763,Female,muscle_gain,Overweight
764,Male,muscle_gain,Normal weight
765,Female,muscle_gain,Underweight
766,Male,fat_burn,Obesity
767,Male,fat_burn,Underweight
768,Male,fat_burn,Underweight
769,Male,fat_burn,Obesity
770,Male,fat_burn,Obesity
771,Male,fat_burn,Obesity
772,Female,muscle_gain,Normal weight
773,Male,fat_burn,Overweight
774,Male,muscle_gain,Underweight
775,Female,muscle_gain,Obesity
776,Female,muscle_gain,Normal weight
777,Female,fat_burn,Obesity
778,Female,fat_burn,Overweight
779,Female,fat_burn,Overweight
780,Male,fat_burn,Underweight
781,Male,fat_burn,Overweight
782,Female,muscle_gain,Overweight
783,Female,muscle_gain,Normal weight
784,Female,muscle_gain,Normal weight
785,Female,muscle_gain,Overweight
786,Male,fat_burn,Overweight
787,Male,muscle_gain,Obesity
788,Male,fat_burn,Normal weight
789,Female,fat_burn,Normal weight
790,Male,fat_burn,Normal weight
791,Male,muscle_gain,Obesity
792,Female,muscle_gain,Underweight
793,Male,muscle_gain,Obesity
794,Female,muscle_gain,Normal weight
795,Female,muscle_gain,Overweight
796,Male,fat_burn,Overweight
797,Male,fat_burn,Obesity
798,Female,muscle_gain,Underweight
799,Male,muscle_gain,Overweight
800,Female,fat_burn,Obesity
801,Female,fat_burn,Obesity
802,Female,muscle_gain,Overweight
803,Male,fat_burn,Underweight
804,Male,muscle_gain,Obesity
805,Male,muscle_gain,Overweight
806,Male,muscle_gain,Underweight
807,Female,fat_burn,Overweight
808,Female,fat_burn,Underweight
809,Female,muscle_gain,Underweight
810,Male,muscle_gain,Overweight
811,Male,fat_burn,Overweight
812,Male,fat_burn,Overweight
813,Female,muscle_gain,Obesity
814,Female,muscle_gain,Underweight
815,Female,muscle_gain,Overweight
816,Male,fat_burn,Normal weight
817,Female,muscle_gain,Normal weight
818,Male,muscle_gain,Obesity
819,Male,muscle_gain,Obesity
820,Female,muscle_gain,Normal weight
821,Male,fat_burn,Normal weight
822,Male,fat_burn,Normal weight
823,Male,muscle_gain,Normal weight
824,Male,fat_burn,Normal weight
825,Female,fat_burn,Obesity
826,Female,muscle_gain,Normal weight
827,Female,muscle_gain,Obesity
828,Male,fat_burn,Obesity
829,Female,fat_burn,Normal weight
830,Female,fat_burn,Underweight
831,Female,muscle_gain,Overweight
832,Male,muscle_gain,Overweight
833,Male,muscle_gain,Obesity
